2012-12-20	 	2012-12-19	 	POCKET SHOP/ST	 	-119,00	 	5 852,78
2012-12-20	 	2012-12-20	 	GOD JUL	 	2 000,00	 	5 971,78
2012-12-19	 	2012-12-18	 	T-JARLEN	 	-24,80	 	3 971,78
2012-12-19	 	2012-12-17	 	COOP KONSUM BE	 	-47,40	 	3 996,58
2012-12-18	 	2012-12-17	 	SF BOKHANDEL A	 	-337,00	 	4 043,98
2012-12-18	 	2012-12-16	 	SILJA EUROPA	 	-91,00	 	4 380,98
2012-12-18	 	2012-12-16	 	SILJA EUROPA	 	-76,00	 	4 471,98
2012-12-18	 	2012-12-17	 	BUTIK LINDQVIS	 	-150,00	 	4 547,98
2012-12-17	 	2012-12-14	 	BURGER KING	 	-25,00	 	4 697,98
2012-12-17	 	2012-12-14	 	RESTAURANG MAS	 	-85,00	 	4 722,98
2012-12-17	 	2012-12-15	 	COOP NARA KRIS	 	-25,40	 	4 807,98
2012-12-17	 	2012-12-15	 	HAO-ZHE RESTAU	 	-228,00	 	4 833,38
2012-12-13	 	2012-12-12	 	SYSTEMBOLAGET	 	-251,40	 	5 061,38
2012-12-13	 	2012-12-11	 	COOP KONSUM BE	 	-136,25	 	5 312,78
2012-12-13	 	2012-12-11	 	AERLING 2M	 	-10 140,00	 	5 449,03
2012-12-13	 	2012-12-11	 	COOP NARA KRIS	 	-30,45	 	15 589,03
2012-12-12	 	2012-12-10	 	COOP KONSUM BE	 	-153,70	 	15 619,48
2012-12-12	 	2012-12-11	 	HOTELS.COM SWE	 	-4 479,54	 	15 773,18
2012-12-11	 	2012-12-11	 	Överf Mobil	 	-177,00	 	20 252,72
2012-12-11	 	2012-12-11	 	00091702944735	 	15 000,00	 	20 429,72
2012-12-10	 	2012-12-07	 	IZETTLE*KONGLI	 	-40,00	 	5 429,72
2012-12-10	 	2012-12-08	 	COOP NARA KRIS	 	-86,35	 	5 469,72
2012-12-10	 	2012-12-07	 	IZETTLE*KONGLI	 	-35,00	 	5 556,07
